Crop,State,year,Area_(in_Ha),Production_(in_Tonnes),Yield_(kg/Ha),MSP,Annual_rainfall,WPI
Jowar,Gujarat,2019,48920.00,67159.00,1373.00,2550,2.93460274,156.0166667
Jowar,Haryana,2019,29900.00,15787.00,528.00,2550,1.095753425,156.0166667
Jowar,Jharkhand,2019,1796.00,1349.00,751.00,2550,3.205917808,156.0166667
Jowar,Karnataka,2019,826600.00,986981.00,1194.00,2550,3.678,156.0166667
Jowar,Kerala,2019,285.00,235.00,825.00,2550,7.62169863,156.0166667
Jowar,Madhya Pradesh,2019,108000.00,165132.00,1529.00,2550,3.862794521,156.0166667
Jowar,Maharashtra,2019,2290580.00,1807510.00,789.00,2550,4.069369863,156.0166667
Jowar,Nagaland,2019,280.00,270.00,964.00,2550,4.291726027,156.0166667
Jowar,Odisha,2019,5810.00,3678.00,633.00,2550,4.413178082,156.0166667
Jowar,Puducherry,2019,411767.31,2454306.43,7261.79,2550,3.491369863,156.0166667
Jowar,Rajasthan,2019,642840.00,455774.00,709.00,2550,1.792739726,156.0166667
Jowar,Tamil Nadu,2019,450000.00,520065.00,1156.00,2550,2.565068493,156.0166667
Jowar,Telangana,2019,88000.00,123855.00,1407.00,2550,3.049972603,156.0166667
Jowar,Uttar Pradesh,2019,168000.00,226632.00,1349.00,2550,2.394109589,156.0166667
Jowar,West Bengal,2019,180.00,95.00,528.00,2550,4.697041096,156.0166667
Jute,Assam,2019,64247.00,791666.00,2218.00,3950,5.826712329,198.375
Jute,Bihar,2019,48390.00,646813.00,2406.00,3950,3.32509589,198.375
Jute,Meghalaya,2019,6680.00,68544.00,1847.00,3950,10.57309589,198.375
Jute,Nagaland,2019,3080.00,32614.00,1906.00,3950,4.291726027,198.375
Jute,Odisha,2019,150.00,1808.00,2169.00,3950,4.413178082,198.375
Jute,Tripura,2019,620.00,3170.00,920.00,3950,6.345205479,198.375
Jute,West Bengal,2019,505226.00,7901173.00,2815.00,3950,4.697041096,198.375
Jute & Mesta,Andhra Pradesh,2019,2000.00,21311.00,1918.00,1771,2.567726027,171.2583333
Jute & Mesta,Assam,2019,67468.00,811672.00,2165.00,1771,5.826712329,171.2583333
Jute & Mesta,Bihar,2019,62087.00,802122.00,2325.00,1771,3.32509589,171.2583333
Jute & Mesta,Chhattisgarh,2019,970.00,1924.00,357.00,5720,3.877863014,171.2583333
Jute & Mesta,Meghalaya,2019,11160.00,95001.00,1532.00,5435,10.57309589,171.2583333
Jute & Mesta,Nagaland,2019,5040.00,44635.00,1594.00,4716,4.291726027,171.2583333
Jute & Mesta,Odisha,2019,4840.00,25231.00,938.00,5726,4.413178082,171.2583333
Jute & Mesta,Tripura,2019,1050.00,5300.00,909.00,5713,6.345205479,171.2583333
Jute & Mesta,West Bengal,2019,517660.00,8067384.00,2805.00,1771,4.697041096,171.2583333
Lentil,Arunachal Pradesh,2019,454.00,356.00,784.00,4800,7.009479452,135.3083333
Lentil,Assam,2019,24122.00,18429.00,764.00,4800,5.826712329,135.3083333
Lentil,Bihar,2019,143046.00,90119.00,630.00,4800,3.32509589,135.3083333
Lentil,Chhattisgarh,2019,13810.00,4461.00,323.00,4800,3.877863014,135.3083333
Lentil,Haryana,2019,800.00,900.00,1125.00,4800,1.095753425,135.3083333
Lentil,Himachal Pradesh,2019,490.00,456.00,930.00,4800,3.314136986,135.3083333
Lentil,Jharkhand,2019,62319.00,52909.00,849.00,4800,3.205917808,135.3083333
Lentil,Ladakh,2019,429407.58,1041024.62,925.35,4800,1.420876712,135.3083333
Lentil,Madhya Pradesh,2019,379000.00,294483.00,777.00,4800,3.862794521,135.3083333
Lentil,Manipur,2019,664.00,613.00,923.00,4800,2.90739726,135.3083333
Lentil,Nagaland,2019,2210.00,1821.00,824.00,4800,4.291726027,135.3083333
Lentil,Odisha,2019,9340.00,4941.00,529.00,4800,4.413178082,135.3083333
Lentil,Punjab,2019,800.00,434.00,543.00,4800,1.941232877,135.3083333
Lentil,Rajasthan,2019,17020.00,23403.00,1375.00,4800,1.792739726,135.3083333
Lentil,Tripura,2019,2214.00,1656.00,748.00,4800,6.345205479,135.3083333
Lentil,Uttar Pradesh,2019,463000.00,452814.00,978.00,4800,2.394109589,135.3083333
Lentil,Uttarakhand,2019,11000.00,11154.00,1014.00,4800,4.201315068,135.3083333
Lentil,West Bengal,2019,172025.00,143813.00,836.00,4800,4.697041096,135.3083333
Linseed,Assam,2019,4885.00,3038.00,622.00,5682,5.826712329,157.3083333
Linseed,Bihar,2019,8254.00,6975.00,845.00,5669,3.32509589,157.3083333
Linseed,Chhattisgarh,2019,15680.00,4453.00,284.00,5684,3.877863014,157.3083333
Linseed,Himachal Pradesh,2019,820.00,344.00,420.00,5684,3.314136986,157.3083333
Linseed,Jammu And Kashmir,2019,125.00,0.00,0.00,5684,3.29139726,157.3083333
Linseed,Jharkhand,2019,39541.00,23092.00,584.00,5682,3.205917808,157.3083333
Linseed,Karnataka,2019,1000.00,513.00,513.00,5682,3.678,157.3083333
Linseed,Madhya Pradesh,2019,52000.00,45084.00,867.00,5669,3.862794521,157.3083333
Linseed,Maharashtra,2019,5490.00,1938.00,353.00,5684,4.069369863,157.3083333
Linseed,Meghalaya,2019,90.00,54.00,600.00,5682,10.57309589,157.3083333
Linseed,Nagaland,2019,5860.00,4770.00,814.00,5669,4.291726027,157.3083333
Linseed,Odisha,2019,10170.00,5044.00,496.00,5682,4.413178082,157.3083333
Linseed,Rajasthan,2019,4795.00,4622.00,964.00,5685,1.792739726,157.3083333
Linseed,Uttar Pradesh,2019,27001.00,18576.00,688.00,5682,2.394109589,157.3083333
Linseed,West Bengal,2019,4055.00,2096.00,517.00,5682,4.697041096,157.3083333
Maize,Andaman And Nicobar Islands,2019,0.00,0.00,0.00,1760,0,172.5666667
Maize,Andhra Pradesh,2019,301000.00,2016982.00,6701.00,1760,2.567726027,172.5666667
Maize,Arunachal Pradesh,2019,51756.00,80203.00,1550.00,1760,7.009479452,172.5666667
Maize,Assam,2019,36636.00,128043.00,3495.00,1760,5.826712329,172.5666667
Maize,Bihar,2019,673138.00,2002689.00,2975.00,1760,3.32509589,172.5666667
Maize,Chandigarh,2019,80.00,240.00,3000.00,1760,2.575342466,172.5666667
Maize,Chhattisgarh,2019,128180.00,344932.00,2691.00,1760,3.877863014,172.5666667
Maize,Delhi,2019,20.00,102.00,5100.00,1760,1.368410959,172.5666667
Maize,Gujarat,2019,438360.00,795799.00,1815.00,1760,2.93460274,172.5666667
Maize,Haryana,2019,6000.00,16998.00,2833.00,1760,1.095753425,172.5666667
Maize,Himachal Pradesh,2019,287444.00,730108.00,2540.00,1760,3.314136986,172.5666667
Maize,Jammu And Kashmir,2019,268669.00,541368.00,2015.00,1760,3.29139726,172.5666667
Maize,Jharkhand,2019,256771.00,510811.00,1989.00,1760,3.205917808,172.5666667
Maize,Karnataka,2019,1424000.00,4258022.00,2990.00,1760,3.678,172.5666667
Maize,Kerala,2019,113.00,140.00,1239.00,1760,7.62169863,172.5666667
Maize,Madhya Pradesh,2019,1404000.00,4069785.00,2899.00,1760,3.862794521,172.5666667
Maize,Maharashtra,2019,1126650.00,1960141.00,1740.00,1760,4.069369863,172.5666667
Maize,Manipur,2019,2216.80,4939.00,2228.00,1760,2.90739726,172.5666667
Maize,Meghalaya,2019,18170.00,41755.00,2298.00,1760,10.57309589,172.5666667
Maize,Mizoram,2019,6353.00,10970.00,1727.00,1760,5.126410959,172.5666667
Maize,Nagaland,2019,69130.00,137159.00,1984.00,1760,4.291726027,172.5666667
Maize,Odisha,2019,65070.00,188989.00,2904.00,1760,4.413178082,172.5666667
Maize,Punjab,2019,114600.00,410383.00,3581.00,1760,1.941232877,172.5666667
Maize,Rajasthan,2019,891110.00,1207063.00,1355.00,1760,1.792739726,172.5666667
Maize,Sikkim,2019,38387.00,67907.00,1769.00,1760,8.967835616,172.5666667
Maize,Tamil Nadu,2019,333560.00,2476197.00,7424.00,1760,2.565068493,172.5666667
Maize,Telangana,2019,561000.00,2999735.00,5347.00,1760,3.049972603,172.5666667
Maize,Tripura,2019,14635.00,22972.00,1570.00,1760,6.345205479,172.5666667
Maize,Uttar Pradesh,2019,729000.00,1693572.00,2323.00,1760,2.394109589,172.5666667
Maize,Uttarakhand,2019,21000.00,40341.00,1921.00,1760,4.201315068,172.5666667
Maize,West Bengal,2019,302026.00,2007621.00,6647.00,1760,4.697041096,172.5666667
Mesta,Andhra Pradesh,2019,2000.00,21311.00,1918.00,1959,2.567726027,132.8583333
Mesta,Assam,2019,3221.00,20006.00,1118.00,5464,5.826712329,132.8583333
Mesta,Bihar,2019,13697.00,155309.00,2041.00,1959,3.32509589,132.8583333
Mesta,Chhattisgarh,2019,970.00,1924.00,357.00,5528,3.877863014,132.8583333
Mesta,Meghalaya,2019,4480.00,26457.00,1063.00,5464,10.57309589,132.8583333
Mesta,Nagaland,2019,1960.00,12021.00,1104.00,5464,4.291726027,132.8583333
Mesta,Odisha,2019,4690.00,23424.00,899.00,5511,4.413178082,132.8583333
Mesta,Tripura,2019,430.00,2130.00,892.00,5511,6.345205479,132.8583333
Mesta,West Bengal,2019,12434.00,166211.00,2406.00,1959,4.697041096,132.8583333
Moong,Andaman And Nicobar Islands,2019,363.50,217.00,597.00,7050,0,135.4583333
Moong,Andhra Pradesh,2019,107000.00,86464.00,808.00,7050,2.567726027,135.4583333
Moong,Arunachal Pradesh,2019,1318.00,1354.00,1027.00,7050,7.009479452,135.4583333
Moong,Assam,2019,10837.00,7792.00,719.00,7050,5.826712329,135.4583333
Moong,Bihar,2019,165668.00,110054.00,664.00,7050,3.32509589,135.4583333
Moong,Chhattisgarh,2019,10640.00,4141.00,389.00,7050,3.877863014,135.4583333
Moong,Gujarat,2019,134920.00,104113.00,772.00,7050,2.93460274,135.4583333
Moong,Haryana,2019,20170.00,12001.00,595.00,7050,1.095753425,135.4583333
Moong,Himachal Pradesh,2019,117.00,83.00,710.00,7050,3.314136986,135.4583333
Moong,Jammu And Kashmir,2019,308.00,132.00,428.00,7050,3.29139726,135.4583333
Moong,Jharkhand,2019,22936.00,18555.00,809.00,7050,3.205917808,135.4583333
Moong,Karnataka,2019,382300.00,141062.00,369.00,7050,3.678,135.4583333
Moong,Kerala,2019,28676.14,2732751.43,5832.65,7050,7.62169863,135.4583333
Moong,Madhya Pradesh,2019,334200.00,247794.00,741.00,7050,3.862794521,135.4583333
Moong,Maharashtra,2019,386790.00,150848.00,390.00,7050,4.069369863,135.4583333
Moong,Manipur,2019,433.00,388.00,896.00,7050,2.90739726,135.4583333
Moong,Nagaland,2019,480.00,500.00,1042.00,7050,4.291726027,135.4583333
Moong,Odisha,2019,240140.00,80722.00,336.00,7050,4.413178082,135.4583333
Moong,Puducherry,2019,650.20,172.00,264.00,7050,3.491369863,135.4583333
Moong,Punjab,2019,25400.00,21986.00,866.00,7050,1.941232877,135.4583333
Moong,Rajasthan,2019,2326520.00,1303320.00,560.00,7050,1.792739726,135.4583333
Moong,Tamil Nadu,2019,171940.00,76464.00,445.00,7050,2.565068493,135.4583333
Moong,Telangana,2019,66000.00,52968.00,803.00,7050,3.049972603,135.4583333
Moong,Tripura,2019,4032.00,2681.00,665.00,7050,6.345205479,135.4583333
Moong,Uttar Pradesh,2019,93000.00,53003.00,570.00,7050,2.394109589,135.4583333
Moong,West Bengal,2019,74382.00,32058.00,431.00,7050,4.697041096,135.4583333
Nigerseed,Andhra Pradesh,2019,4000.00,1324.00,331.00,5940,2.567726027,165.45
Nigerseed,Assam,2019,5715.00,3189.00,558.00,5940,5.826712329,165.45
Nigerseed,Chhattisgarh,2019,51030.00,9696.00,190.00,5940,3.877863014,165.45
Nigerseed,Gujarat,2019,2980.00,1341.00,450.00,5940,2.93460274,165.45
Nigerseed,Jharkhand,2019,3117.00,1496.00,480.00,5940,3.205917808,165.45
Nigerseed,Karnataka,2019,1000.00,248.00,248.00,5940,3.678,165.45
Nigerseed,Madhya Pradesh,2019,6000.00,1998.00,333.00,5940,3.862794521,165.45
Nigerseed,Maharashtra,2019,8130.00,1626.00,200.00,5940,4.069369863,165.45
Nigerseed,Odisha,2019,53040.00,19678.00,371.00,5940,4.413178082,165.45
Nigerseed,West Bengal,2019,1005.00,519.00,516.00,5940,4.697041096,165.45
Other Pulses,Andhra Pradesh,2019,140000.00,74000.00,529.00,5720,2.567726027,171.2583333
Other Pulses,Arunachal Pradesh,2019,8157.00,9290.00,1139.00,5690,7.009479452,171.2583333
Other Pulses,Assam,2019,42897.00,38548.00,899.00,5726,5.826712329,171.2583333
Other Pulses,Bihar,2019,72014.00,61238.00,850.00,5726,3.32509589,171.2583333
Other Pulses,Chhattisgarh,2019,225020.00,87370.00,388.00,5720,3.877863014,171.2583333
Other Pulses,Goa,2019,4398.00,3855.00,877.00,5726,12.76778082,171.2583333
Other Pulses,Gujarat,2019,49770.00,33600.00,675.00,5720,2.93460274,171.2583333
Other Pulses,Haryana,2019,3580.00,3090.00,863.00,5726,1.095753425,171.2583333
Other Pulses,Himachal Pradesh,2019,20302.00,49060.00,2417.00,1771,3.314136986,171.2583333
Other Pulses,Jammu And Kashmir,2019,16564.00,43762.00,2642.00,1771,3.29139726,171.2583333
Other Pulses,Jharkhand,2019,117155.00,114838.00,980.00,5742,3.205917808,171.2583333
Other Pulses,Karnataka,2019,252000.00,179600.00,713.00,5720,3.678,171.2583333
Other Pulses,Kerala,2019,1347.00,1207.00,896.00,5726,7.62169863,171.2583333
Other Pulses,Ladakh,2019,0.00,0.00,0.00,5720,1.420876712,171.2583333
Other Pulses,Madhya Pradesh,2019,75000.00,59000.00,787.00,5720,3.862794521,171.2583333
Other Pulses,Maharashtra,2019,226340.00,110280.00,487.00,5720,4.069369863,171.2583333
Other Pulses,Manipur,2019,23794.00,21880.00,920.00,5726,2.90739726,171.2583333
Other Pulses,Meghalaya,2019,5280.00,8490.00,1608.00,4672,10.57309589,171.2583333
Other Pulses,Mizoram,2019,3714.00,5165.00,1391.00,5734,5.126410959,171.2583333
Other Pulses,Nagaland,2019,32820.00,40220.00,1225.00,5742,4.291726027,171.2583333
Other Pulses,Odisha,2019,283220.00,159320.00,563.00,5720,4.413178082,171.2583333
Other Pulses,Puducherry,2019,79.00,63.00,797.00,5725,3.491369863,171.2583333
Other Pulses,Punjab,2019,1800.00,1600.00,889.00,5726,1.941232877,171.2583333
Other Pulses,Rajasthan,2019,1022005.00,384007.00,376.00,5720,1.792739726,171.2583333
Other Pulses,Sikkim,2019,2450.00,2427.00,991.00,5655,8.967835616,171.2583333
Other Pulses,Tamil Nadu,2019,198940.00,153240.00,770.00,5720,2.565068493,171.2583333
Other Pulses,Telangana,2019,4000.00,4000.00,1000.00,5688,3.049972603,171.2583333
Other Pulses,Tripura,2019,8282.00,6971.00,842.00,5713,6.345205479,171.2583333
Other Pulses,Uttar Pradesh,2019,344000.00,565800.00,1645.00,4495,2.394109589,171.2583333
Other Pulses,Uttarakhand,2019,33000.00,32000.00,970.00,5742,4.201315068,171.2583333
Other Pulses,West Bengal,2019,121081.00,107420.00,887.00,5726,4.697041096,171.2583333
Ragi,Andhra Pradesh,2019,34000.00,44880.00,1320.00,3150,2.567726027,223.2916667
Ragi,Arunachal Pradesh,2019,268466.64,2326446.55,9997.23,3150,7.009479452,223.2916667
Ragi,Bihar,2019,2755.00,2193.00,796.00,3150,3.32509589,223.2916667
Ragi,Chhattisgarh,2019,5730.00,1450.00,253.00,3150,3.877863014,223.2916667
Ragi,Dadra And Nagar Haveli,2019,900.00,1485.00,1650.00,3150,10.46120548,223.2916667
Ragi,Gujarat,2019,11610.00,10008.00,862.00,3150,2.93460274,223.2916667
Ragi,Himachal Pradesh,2019,1757.00,2056.00,1170.00,3150,3.314136986,223.2916667
Ragi,Jammu And Kashmir,2019,0.00,0.00,0.00,3150,3.29139726,223.2916667
Ragi,Jharkhand,2019,14581.00,12758.00,875.00,3150,3.205917808,223.2916667
Ragi,Karnataka,2019,641000.00,1164056.00,1816.00,3150,3.678,223.2916667
Ragi,Kerala,2019,213.00,261.00,1225.00,3150,7.62169863,223.2916667
Ragi,Maharashtra,2019,82220.00,87235.00,1061.00,3150,4.069369863,223.2916667
Ragi,Nagaland,2019,350.00,340.00,971.00,3150,4.291726027,223.2916667
Ragi,Odisha,2019,35890.00,26236.00,731.00,3150,4.413178082,223.2916667
