Crop,State,Crop_Year,Area_(in_Ha),Production_(in_Tonnes),Yield_(kg/Ha),MSP,Annual_rainfall,WPI
Cotton,Tripura,2019,0,0,0,5550,6.345205479,117.875
Cotton,Uttar Pradesh,2019,0,0,0,5550,2.394109589,117.875
Cotton,West Bengal,2019,0,0,0,5550,4.697041096,117.875
Gram,Andhra Pradesh,2019,459000,559062,1218,4875,2.567726027,145.825
Gram,Assam,2019,2176,1519,698,4875,5.826712329,145.825
Gram,Bihar,2019,52802,38545,730,4875,3.32509589,145.825
Gram,Chhattisgarh,2019,381770,88189,231,4875,3.877863014,145.825
Gram,Delhi,2019,2,4,2000,4875,1.368410959,145.825
Gram,Gujarat,2019,405050,635118,1568,4875,2.93460274,145.825
Gram,Haryana,2019,43970,47136,1072,4875,1.095753425,145.825
Gram,Himachal Pradesh,2019,394,422,1070,4875,3.314136986,145.825
Gram,Jammu And Kashmir,2019,9,3,300,4875,3.29139726,145.825
Gram,Jharkhand,2019,230073,275397,1197,4875,3.205917808,145.825
Gram,Karnataka,2019,864000,675648,782,4875,3.678,145.825
Gram,Madhya Pradesh,2019,1926000,2729142,1417,4875,3.862794521,145.825
Gram,Maharashtra,2019,2043210,2239358,1096,4875,4.069369863,145.825
Gram,Manipur,2019,759,696,917,4875,2.90739726,145.825
Gram,Meghalaya,2019,1860,1994,1072,4875,10.57309589,145.825
Gram,Nagaland,2019,760,640,842,4875,4.291726027,145.825
Gram,Odisha,2019,27820,21672,779,4875,4.413178082,145.825
Gram,Punjab,2019,1500,1829,1219,4875,1.941232877,145.825
Gram,Rajasthan,2019,2463050,2657631,1079,4875,1.792739726,145.825
Gram,Tamil Nadu,2019,5550,5139,926,4875,2.565068493,145.825
Gram,Telangana,2019,130000,199160,1532,4875,3.049972603,145.825
Gram,Tripura,2019,291,180,619,4875,6.345205479,145.825
Gram,Uttar Pradesh,2019,621000,851391,1371,4875,2.394109589,145.825
Gram,Uttarakhand,2019,1000,763,763,4875,4.201315068,145.825
Gram,West Bengal,2019,36103,47403,1313,4875,4.697041096,145.825
Groundnut,Andaman And Nicobar Islands,2019,0,0,0,5090,0,137.8083333
Groundnut,Andhra Pradesh,2019,661000,848787,1284,5090,2.567726027,137.8083333
Groundnut,Arunachal Pradesh,2019,923,905,981,5090,7.009479452,137.8083333
Groundnut,Bihar,2019,841,858,1020,5090,3.32509589,137.8083333
Groundnut,Chhattisgarh,2019,27440,41819,1524,5090,3.877863014,137.8083333
Groundnut,Goa,2019,170,426,2503,5090,12.76778082,137.8083333
Groundnut,Gujarat,2019,1688700,4645522,2751,5090,2.93460274,137.8083333
Groundnut,Haryana,2019,2800,3363,1201,5090,1.095753425,137.8083333
Groundnut,Himachal Pradesh,2019,44,51,1160,5090,3.314136986,137.8083333
Groundnut,Jharkhand,2019,26088,28775,1103,5090,3.205917808,137.8083333
Groundnut,Karnataka,2019,504000,502813,998,5090,3.678,137.8083333
Groundnut,Kerala,2019,117,147,1256,5090,7.62169863,137.8083333
Groundnut,Madhya Pradesh,2019,221000,350659,1587,5090,3.862794521,137.8083333
Groundnut,Maharashtra,2019,290760,308989,1063,5090,4.069369863,137.8083333
Groundnut,Manipur,2019,2710,2352,868,5090,2.90739726,137.8083333
Groundnut,Nagaland,2019,2050,2148,1048,5090,4.291726027,137.8083333
Groundnut,Odisha,2019,29430,43294,1471,5090,4.413178082,137.8083333
Groundnut,Puducherry,2019,253,759,3000,5090,3.491369863,137.8083333
Groundnut,Punjab,2019,1800,3564,1980,5090,1.941232877,137.8083333
Groundnut,Rajasthan,2019,739022,1619326,2191,5090,1.792739726,137.8083333
Groundnut,Tamil Nadu,2019,346650,1032995,2980,5090,2.565068493,137.8083333
Groundnut,Telangana,2019,111000,265368,2391,5090,3.049972603,137.8083333
Groundnut,Tripura,2019,2367,3360,1420,5090,6.345205479,137.8083333
Groundnut,Uttar Pradesh,2019,94000,88548,942,5090,2.394109589,137.8083333
Groundnut,Uttarakhand,2019,1000,1089,1089,5090,4.201315068,137.8083333
Groundnut,West Bengal,2019,71030,156097,2198,5090,4.697041096,137.8083333
Guarseed,Gujarat,2019,321725.0794,1000969.506,1836.691854,1772.85,2.93460274,171.2583333
Guarseed,Haryana,2019,433870.7252,1630349.072,2273.941726,1771.2,1.095753425,171.2583333
Guarseed,Punjab,2019,382307.5882,1340968.378,2072.899814,1771.2,1.941232877,171.2583333
Guarseed,Rajasthan,2019,391363.7192,1391792.855,2108.209184,1771.2,1.792739726,171.2583333
Guarseed,Uttar Pradesh,2019,354688.0595,1185963.1,1965.21275,1771.2,2.394109589,171.2583333
Jowar,Andhra Pradesh,2019,155000,389111,2510,2550,2.567726027,156.0166667
Jowar,Bihar,2019,631,673,1067,2550,3.32509589,156.0166667
Jowar,Chhattisgarh,2019,2900,4069,1403,2550,3.877863014,156.0166667
Jowar,Delhi,2019,3150,3000,952,2550,1.368410959,156.0166667
Jowar,Gujarat,2019,48920,67159,1373,2550,2.93460274,156.0166667
Jowar,Haryana,2019,29900,15787,528,2550,1.095753425,156.0166667
Jowar,Jharkhand,2019,1796,1349,751,2550,3.205917808,156.0166667
Jowar,Karnataka,2019,826600,986981,1194,2550,3.678,156.0166667
Jowar,Kerala,2019,285,235,825,2550,7.62169863,156.0166667
Jowar,Madhya Pradesh,2019,108000,165132,1529,2550,3.862794521,156.0166667
Jowar,Maharashtra,2019,2290580,1807510,789,2550,4.069369863,156.0166667
Jowar,Nagaland,2019,280,270,964,2550,4.291726027,156.0166667
Jowar,Odisha,2019,5810,3678,633,2550,4.413178082,156.0166667
Jowar,Puducherry,2019,411767.3086,2454306.429,7261.79473,2550,3.491369863,156.0166667
Jowar,Rajasthan,2019,642840,455774,709,2550,1.792739726,156.0166667
Jowar,Tamil Nadu,2019,450000,520065,1156,2550,2.565068493,156.0166667
Jowar,Telangana,2019,88000,123855,1407,2550,3.049972603,156.0166667
Jowar,Uttar Pradesh,2019,168000,226632,1349,2550,2.394109589,156.0166667
Jowar,West Bengal,2019,180,95,528,2550,4.697041096,156.0166667
Jute,Assam,2019,64247,791666,2218,3950,5.826712329,198.375
Jute,Bihar,2019,48390,646813,2406,3950,3.32509589,198.375
Jute,Meghalaya,2019,6680,68544,1847,3950,10.57309589,198.375
Jute,Nagaland,2019,3080,32614,1906,3950,4.291726027,198.375
Jute,Odisha,2019,150,1808,2169,3950,4.413178082,198.375
Jute,Tripura,2019,620,3170,920,3950,6.345205479,198.375
Jute,West Bengal,2019,505226,7901173,2815,3950,4.697041096,198.375
Jute & Mesta,Andhra Pradesh,2019,2000,21311,1918,1771.2,2.567726027,171.2583333
Jute & Mesta,Assam,2019,67468,811672,2165,1771.2,5.826712329,171.2583333
Jute & Mesta,Bihar,2019,62087,802122,2325,1771.2,3.32509589,171.2583333
Jute & Mesta,Chhattisgarh,2019,970,1924,357,5720.19,3.877863014,171.2583333
Jute & Mesta,Meghalaya,2019,11160,95001,1532,5434.59,10.57309589,171.2583333
Jute & Mesta,Nagaland,2019,5040,44635,1594,4715.57,4.291726027,171.2583333
Jute & Mesta,Odisha,2019,4840,25231,938,5725.54,4.413178082,171.2583333
Jute & Mesta,Tripura,2019,1050,5300,909,5712.89,6.345205479,171.2583333
Jute & Mesta,West Bengal,2019,517660,8067384,2805,1771.2,4.697041096,171.2583333
Lentil,Arunachal Pradesh,2019,454,356,784,4800,7.009479452,135.3083333
Lentil,Assam,2019,24122,18429,764,4800,5.826712329,135.3083333
Lentil,Bihar,2019,143046,90119,630,4800,3.32509589,135.3083333
Lentil,Chhattisgarh,2019,13810,4461,323,4800,3.877863014,135.3083333
Lentil,Haryana,2019,800,900,1125,4800,1.095753425,135.3083333
Lentil,Himachal Pradesh,2019,490,456,930,4800,3.314136986,135.3083333
Lentil,Jharkhand,2019,62319,52909,849,4800,3.205917808,135.3083333
Lentil,Ladakh,2019,429407.5777,1041024.617,925.3510862,4800,1.420876712,135.3083333
Lentil,Madhya Pradesh,2019,379000,294483,777,4800,3.862794521,135.3083333
Lentil,Manipur,2019,664,613,923,4800,2.90739726,135.3083333
Lentil,Nagaland,2019,2210,1821,824,4800,4.291726027,135.3083333
Lentil,Odisha,2019,9340,4941,529,4800,4.413178082,135.3083333
Lentil,Punjab,2019,800,434,543,4800,1.941232877,135.3083333
Lentil,Rajasthan,2019,17020,23403,1375,4800,1.792739726,135.3083333
Lentil,Tripura,2019,2214,1656,748,4800,6.345205479,135.3083333
Lentil,Uttar Pradesh,2019,463000,452814,978,4800,2.394109589,135.3083333
Lentil,Uttarakhand,2019,11000,11154,1014,4800,4.201315068,135.3083333
Lentil,West Bengal,2019,172025,143813,836,4800,4.697041096,135.3083333
Linseed,Assam,2019,4885,3038,622,5682.4,5.826712329,157.3083333
Linseed,Bihar,2019,8254,6975,845,5668.75,3.32509589,157.3083333
Linseed,Chhattisgarh,2019,15680,4453,284,5683.8,3.877863014,157.3083333
Linseed,Himachal Pradesh,2019,820,344,420,5683.8,3.314136986,157.3083333
Linseed,Jammu And Kashmir,2019,125,0,0,5683.8,3.29139726,157.3083333
Linseed,Jharkhand,2019,39541,23092,584,5682.4,3.205917808,157.3083333
Linseed,Karnataka,2019,1000,513,513,5682.4,3.678,157.3083333
Linseed,Madhya Pradesh,2019,52000,45084,867,5668.75,3.862794521,157.3083333
Linseed,Maharashtra,2019,5490,1938,353,5683.8,4.069369863,157.3083333
Linseed,Meghalaya,2019,90,54,600,5682.4,10.57309589,157.3083333
Linseed,Nagaland,2019,5860,4770,814,5668.75,4.291726027,157.3083333
Linseed,Odisha,2019,10170,5044,496,5682.4,4.413178082,157.3083333
Linseed,Rajasthan,2019,4795,4622,964,5684.82,1.792739726,157.3083333
Linseed,Uttar Pradesh,2019,27001,18576,688,5682.4,2.394109589,157.3083333
Linseed,West Bengal,2019,4055,2096,517,5682.4,4.697041096,157.3083333
Maize,Andaman And Nicobar Islands,2019,0,0,0,1760,0,172.5666667
Maize,Andhra Pradesh,2019,301000,2016982,6701,1760,2.567726027,172.5666667
Maize,Arunachal Pradesh,2019,51756,80203,1550,1760,7.009479452,172.5666667
Maize,Assam,2019,36636,128043,3495,1760,5.826712329,172.5666667
Maize,Bihar,2019,673138,2002689,2975,1760,3.32509589,172.5666667
Maize,Chandigarh,2019,80,240,3000,1760,2.575342466,172.5666667
Maize,Chhattisgarh,2019,128180,344932,2691,1760,3.877863014,172.5666667
Maize,Delhi,2019,20,102,5100,1760,1.368410959,172.5666667
Maize,Gujarat,2019,438360,795799,1815,1760,2.93460274,172.5666667
Maize,Haryana,2019,6000,16998,2833,1760,1.095753425,172.5666667
Maize,Himachal Pradesh,2019,287444,730108,2540,1760,3.314136986,172.5666667
Maize,Jammu And Kashmir,2019,268669,541368,2015,1760,3.29139726,172.5666667
Maize,Jharkhand,2019,256771,510811,1989,1760,3.205917808,172.5666667
Maize,Karnataka,2019,1424000,4258022,2990,1760,3.678,172.5666667
Maize,Kerala,2019,113,140,1239,1760,7.62169863,172.5666667
Maize,Madhya Pradesh,2019,1404000,4069785,2899,1760,3.862794521,172.5666667
Maize,Maharashtra,2019,1126650,1960141,1740,1760,4.069369863,172.5666667
Maize,Manipur,2019,2216.8,4939,2228,1760,2.90739726,172.5666667
Maize,Meghalaya,2019,18170,41755,2298,1760,10.57309589,172.5666667
Maize,Mizoram,2019,6353,10970,1727,1760,5.126410959,172.5666667
Maize,Nagaland,2019,69130,137159,1984,1760,4.291726027,172.5666667
Maize,Odisha,2019,65070,188989,2904,1760,4.413178082,172.5666667
Maize,Punjab,2019,114600,410383,3581,1760,1.941232877,172.5666667
Maize,Rajasthan,2019,891110,1207063,1355,1760,1.792739726,172.5666667
Maize,Sikkim,2019,38387,67907,1769,1760,8.967835616,172.5666667
Maize,Tamil Nadu,2019,333560,2476197,7424,1760,2.565068493,172.5666667
Maize,Telangana,2019,561000,2999735,5347,1760,3.049972603,172.5666667
Maize,Tripura,2019,14635,22972,1570,1760,6.345205479,172.5666667
Maize,Uttar Pradesh,2019,729000,1693572,2323,1760,2.394109589,172.5666667
Maize,Uttarakhand,2019,21000,40341,1921,1760,4.201315068,172.5666667
Maize,West Bengal,2019,302026,2007621,6647,1760,4.697041096,172.5666667
Mesta,Andhra Pradesh,2019,2000,21311,1918,1958.8,2.567726027,132.8583333
Mesta,Assam,2019,3221,20006,1118,5463.55,5.826712329,132.8583333
Mesta,Bihar,2019,13697,155309,2041,1958.8,3.32509589,132.8583333
Mesta,Chhattisgarh,2019,970,1924,357,5528.15,3.877863014,132.8583333
Mesta,Meghalaya,2019,4480,26457,1063,5464.08,10.57309589,132.8583333
Mesta,Nagaland,2019,1960,12021,1104,5463.55,4.291726027,132.8583333
Mesta,Odisha,2019,4690,23424,899,5510.65,4.413178082,132.8583333
Mesta,Tripura,2019,430,2130,892,5510.65,6.345205479,132.8583333
Mesta,West Bengal,2019,12434,166211,2406,1958.8,4.697041096,132.8583333
Moong,Andaman And Nicobar Islands,2019,363.5,217,597,7050,0,135.4583333
Moong,Andhra Pradesh,2019,107000,86464,808,7050,2.567726027,135.4583333
Moong,Arunachal Pradesh,2019,1318,1354,1027,7050,7.009479452,135.4583333
Moong,Assam,2019,10837,7792,719,7050,5.826712329,135.4583333
Moong,Bihar,2019,165668,110054,664,7050,3.32509589,135.4583333
Moong,Chhattisgarh,2019,10640,4141,389,7050,3.877863014,135.4583333
Moong,Gujarat,2019,134920,104113,772,7050,2.93460274,135.4583333
Moong,Haryana,2019,20170,12001,595,7050,1.095753425,135.4583333
Moong,Himachal Pradesh,2019,117,83,710,7050,3.314136986,135.4583333
Moong,Jammu And Kashmir,2019,308,132,428,7050,3.29139726,135.4583333
Moong,Jharkhand,2019,22936,18555,809,7050,3.205917808,135.4583333
Moong,Karnataka,2019,382300,141062,369,7050,3.678,135.4583333
Moong,Kerala,2019,-28676.14481,-2732751.429,-5832.646586,7050,7.62169863,135.4583333
Moong,Madhya Pradesh,2019,334200,247794,741,7050,3.862794521,135.4583333
Moong,Maharashtra,2019,386790,150848,390,7050,4.069369863,135.4583333
Moong,Manipur,2019,433,388,896,7050,2.90739726,135.4583333
Moong,Nagaland,2019,480,500,1042,7050,4.291726027,135.4583333
Moong,Odisha,2019,240140,80722,336,7050,4.413178082,135.4583333
Moong,Puducherry,2019,650.2,172,264,7050,3.491369863,135.4583333
Moong,Punjab,2019,25400,21986,866,7050,1.941232877,135.4583333
Moong,Rajasthan,2019,2326520,1303320,560,7050,1.792739726,135.4583333
Moong,Tamil Nadu,2019,171940,76464,445,7050,2.565068493,135.4583333
Moong,Telangana,2019,66000,52968,803,7050,3.049972603,135.4583333
Moong,Tripura,2019,4032,2681,665,7050,6.345205479,135.4583333
Moong,Uttar Pradesh,2019,93000,53003,570,7050,2.394109589,135.4583333
Moong,West Bengal,2019,74382,32058,431,7050,4.697041096,135.4583333
Nigerseed,Andhra Pradesh,2019,4000,1324,331,5940,2.567726027,165.45
Nigerseed,Assam,2019,5715,3189,558,5940,5.826712329,165.45
Nigerseed,Chhattisgarh,2019,51030,9696,190,5940,3.877863014,165.45
Nigerseed,Gujarat,2019,2980,1341,450,5940,2.93460274,165.45
Nigerseed,Jharkhand,2019,3117,1496,480,5940,3.205917808,165.45
Nigerseed,Karnataka,2019,1000,248,248,5940,3.678,165.45
Nigerseed,Madhya Pradesh,2019,6000,1998,333,5940,3.862794521,165.45
Nigerseed,Maharashtra,2019,8130,1626,200,5940,4.069369863,165.45
Nigerseed,Odisha,2019,53040,19678,371,5940,4.413178082,165.45
Nigerseed,West Bengal,2019,1005,519,516,5940,4.697041096,165.45
Other Pulses,Andhra Pradesh,2019,140000,74000,529,5720.19,2.567726027,171.2583333
Other Pulses,Arunachal Pradesh,2019,8157,9290,1139,5689.94,7.009479452,171.2583333
Other Pulses,Assam,2019,42897,38548,899,5725.54,5.826712329,171.2583333
Other Pulses,Bihar,2019,72014,61238,850,5725.54,3.32509589,171.2583333
Other Pulses,Chhattisgarh,2019,225020,87370,388,5720.19,3.877863014,171.2583333
Other Pulses,Goa,2019,4398,3855,877,5725.54,12.76778082,171.2583333
Other Pulses,Gujarat,2019,49770,33600,675,5720.19,2.93460274,171.2583333
Other Pulses,Haryana,2019,3580,3090,863,5725.54,1.095753425,171.2583333
Other Pulses,Himachal Pradesh,2019,20302,49060,2417,1771.2,3.314136986,171.2583333
Other Pulses,Jammu And Kashmir,2019,16564,43762,2642,1771.2,3.29139726,171.2583333
Other Pulses,Jharkhand,2019,117155,114838,980,5741.61,3.205917808,171.2583333
Other Pulses,Karnataka,2019,252000,179600,713,5720.19,3.678,171.2583333
Other Pulses,Kerala,2019,1347,1207,896,5725.54,7.62169863,171.2583333
Other Pulses,Ladakh,2019,0,0,0,5720.19,1.420876712,171.2583333
Other Pulses,Madhya Pradesh,2019,75000,59000,787,5720.19,3.862794521,171.2583333
Other Pulses,Maharashtra,2019,226340,110280,487,5720.19,4.069369863,171.2583333
Other Pulses,Manipur,2019,23794,21880,920,5725.54,2.90739726,171.2583333
Other Pulses,Meghalaya,2019,5280,8490,1608,4672.27,10.57309589,171.2583333
Other Pulses,Mizoram,2019,3714,5165,1391,5734.34,5.126410959,171.2583333
Other Pulses,Nagaland,2019,32820,40220,1225,5741.84,4.291726027,171.2583333
Other Pulses,Odisha,2019,283220,159320,563,5720.19,4.413178082,171.2583333
Other Pulses,Puducherry,2019,79,63,797,5725.04,3.491369863,171.2583333
Other Pulses,Punjab,2019,1800,1600,889,5725.54,1.941232877,171.2583333
Other Pulses,Rajasthan,2019,1022005,384007,376,5720.19,1.792739726,171.2583333
Other Pulses,Sikkim,2019,2450,2427,991,5655.04,8.967835616,171.2583333
Other Pulses,Tamil Nadu,2019,198940,153240,770,5720.19,2.565068493,171.2583333
Other Pulses,Telangana,2019,4000,4000,1000,5687.79,3.049972603,171.2583333
Other Pulses,Tripura,2019,8282,6971,842,5712.89,6.345205479,171.2583333
Other Pulses,Uttar Pradesh,2019,344000,565800,1645,4495.17,2.394109589,171.2583333
Other Pulses,Uttarakhand,2019,33000,32000,970,5741.61,4.201315068,171.2583333
Other Pulses,West Bengal,2019,121081,107420,887,5725.54,4.697041096,171.2583333
Ragi,Andhra Pradesh,2019,34000,44880,1320,3150,2.567726027,223.2916667
Ragi,Arunachal Pradesh,2019,268466.6357,2326446.545,9997.233049,3150,7.009479452,223.2916667
Ragi,Bihar,2019,2755,2193,796,3150,3.32509589,223.2916667
Ragi,Chhattisgarh,2019,5730,1450,253,3150,3.877863014,223.2916667
Ragi,Dadra And Nagar Haveli,2019,900,1485,1650,3150,10.46120548,223.2916667
Ragi,Gujarat,2019,11610,10008,862,3150,2.93460274,223.2916667
Ragi,Himachal Pradesh,2019,1757,2056,1170,3150,3.314136986,223.2916667
Ragi,Jammu And Kashmir,2019,0,0,0,3150,3.29139726,223.2916667
Ragi,Jharkhand,2019,14581,12758,875,3150,3.205917808,223.2916667
Ragi,Karnataka,2019,641000,1164056,1816,3150,3.678,223.2916667
Ragi,Kerala,2019,213,261,1225,3150,7.62169863,223.2916667
Ragi,Maharashtra,2019,82220,87235,1061,3150,4.069369863,223.2916667
Ragi,Nagaland,2019,350,340,971,3150,4.291726027,223.2916667
Ragi,Odisha,2019,35890,26236,731,3150,4.413178082,223.2916667
Ragi,Puducherry,2019,59,142,2407,3150,3.491369863,223.2916667
Ragi,Sikkim,2019,149032.6425,1656163.59,9531.566299,3150,8.967835616,223.2916667
Ragi,Tamil Nadu,2019,84540,274501,3247,3150,2.565068493,223.2916667
Ragi,Uttarakhand,2019,84000,120120,1430,3150,4.201315068,223.2916667
Ragi,West Bengal,2019,2851,4174,1464,3150,4.697041096,223.2916667
Rapeseed & Mustard,Andhra Pradesh,2019,2000,970,485,4425,2.567726027,143.0583333
Rapeseed & Mustard,Arunachal Pradesh,2019,28261,28798,1019,4425,7.009479452,143.0583333
Rapeseed & Mustard,Assam,2019,287447,177355,617,4425,5.826712329,143.0583333
Rapeseed & Mustard,Bihar,2019,75240,89310,1187,4425,3.32509589,143.0583333
Rapeseed & Mustard,Chhattisgarh,2019,39040,16241,416,4425,3.877863014,143.0583333
Rapeseed & Mustard,Delhi,2019,3585,4520,1261,4425,1.368410959,143.0583333
Rapeseed & Mustard,Gujarat,2019,172620,333502,1932,4425,2.93460274,143.0583333
Rapeseed & Mustard,Haryana,2019,641300,1149851,1793,4425,1.095753425,143.0583333
Rapeseed & Mustard,Himachal Pradesh,2019,8605,4905,570,4425,3.314136986,143.0583333
Rapeseed & Mustard,Jammu And Kashmir,2019,45311,40735,899,4425,3.29139726,143.0583333
Rapeseed & Mustard,Jharkhand,2019,291431,231396,794,4425,3.205917808,143.0583333
Rapeseed & Mustard,Kerala,2019,75262.6384,-630695.3917,907.4725203,4425,7.62169863,143.0583333
Rapeseed & Mustard,Ladakh,2019,453431.2965,1491648.497,2381.931886,4425,1.420876712,143.0583333
Rapeseed & Mustard,Madhya Pradesh,2019,675000,1038150,1538,4425,3.862794521,143.0583333
Rapeseed & Mustard,Maharashtra,2019,11800,3890,330,4425,4.069369863,143.0583333
Rapeseed & Mustard,Manipur,2019,25550,21462,840,4425,2.90739726,143.0583333
Rapeseed & Mustard,Meghalaya,2019,9870,9238,936,4425,10.57309589,143.0583333
Rapeseed & Mustard,Mizoram,2019,574,410,714,4425,5.126410959,143.0583333
Rapeseed & Mustard,Nagaland,2019,27490,27820,1012,4425,4.291726027,143.0583333
Rapeseed & Mustard,Odisha,2019,6950,2036,293,4425,4.413178082,143.0583333
Rapeseed & Mustard,Punjab,2019,31000,45942,1482,4425,1.941232877,143.0583333
Rapeseed & Mustard,Rajasthan,2019,3076320,4202385,1366,4425,1.792739726,143.0583333
Rapeseed & Mustard,Sikkim,2019,3133,2750,878,4425,8.967835616,143.0583333
Rapeseed & Mustard,Tamil Nadu,2019,140,33,233,4425,2.565068493,143.0583333
Rapeseed & Mustard,Telangana,2019,1000,1706,1706,4425,3.049972603,143.0583333
Rapeseed & Mustard,Tripura,2019,7895,6670,845,4425,6.345205479,143.0583333
Rapeseed & Mustard,Uttar Pradesh,2019,759300,956718,1260,4425,2.394109589,143.0583333
Rapeseed & Mustard,Uttarakhand,2019,15000,14505,967,4425,4.201315068,143.0583333
Rapeseed & Mustard,West Bengal,2019,610402,712339,1167,4425,4.697041096,143.0583333
Rice,Andaman And Nicobar Islands,2019,5701.1,17981,3154,1815,0,153.6
Rice,Andhra Pradesh,2019,2300100,8658885,3765,1815,2.567726027,153.6
