Crop,State,Crop_Year,Area_(in_Ha),Production_(in_Tonnes),Yield_(kg/Ha),MSP,Annual_rainfall,cost_of_prod,Harvest_Price
Jute,West Bengal,2019,505226,7901173,2815,3950,4.697041096,2196,4148
Jute & Mesta,Andhra Pradesh,2019,2000,21311,1918,1771.2,2.567726027,1570.94,2413.88
Jute & Mesta,Assam,2019,67468,811672,2165,1771.2,5.826712329,1366.36,2325.39
Jute & Mesta,Bihar,2019,62087,802122,2325,1771.2,3.32509589,1335.09,2380.86
Jute & Mesta,Chhattisgarh,2019,970,1924,357,5720.19,3.877863014,4451.44,4440.45
Jute & Mesta,Meghalaya,2019,11160,95001,1532,5434.59,10.57309589,3496.47,4084.85
Jute & Mesta,Nagaland,2019,5040,44635,1594,4715.57,4.291726027,2741.54,3569.66
Jute & Mesta,Odisha,2019,4840,25231,938,5725.54,4.413178082,3196.64,3106.09
Jute & Mesta,Tripura,2019,1050,5300,909,5712.89,6.345205479,3335.15,4210.6
Jute & Mesta,West Bengal,2019,517660,8067384,2805,1771.2,4.697041096,1131.44,2841.387333
Lentil,Arunachal Pradesh,2019,454,356,784,4800,7.009479452,3314.94,6674.99
Lentil,Assam,2019,24122,18429,764,4800,5.826712329,3197.99,4157
Lentil,Bihar,2019,143046,90119,630,4800,3.32509589,1853,5248.9625
Lentil,Chhattisgarh,2019,13810,4461,323,4800,3.877863014,2995.63,5075.5
Lentil,Haryana,2019,800,900,1125,4800,1.095753425,2613.03,5062.44
Lentil,Himachal Pradesh,2019,490,456,930,4800,3.314136986,2603.2,6616.76
Lentil,Jharkhand,2019,62319,52909,849,4800,3.205917808,2217.03,5249.0275
Lentil,Ladakh,2019,429407.5777,1041024.617,925.3510862,4800,1.420876712,2649.83,5263.281667
Lentil,Madhya Pradesh,2019,379000,294483,777,4800,3.862794521,2241,5088.96
Lentil,Manipur,2019,664,613,923,4800,2.90739726,2594.56,6413.46
Lentil,Nagaland,2019,2210,1821,824,4800,4.291726027,2924.96,4885.2
Lentil,Odisha,2019,9340,4941,529,4800,4.413178082,3330.98,4822.05
Lentil,Punjab,2019,800,434,543,4800,1.941232877,2817.73,6585.52
Lentil,Rajasthan,2019,17020,23403,1375,4800,1.792739726,2543.14,4580.69
Lentil,Tripura,2019,2214,1656,748,4800,6.345205479,3321.61,4704.83
Lentil,Uttar Pradesh,2019,463000,452814,978,4800,2.394109589,2877,5176.0775
Lentil,Uttarakhand,2019,11000,11154,1014,4800,4.201315068,2805.75,4973.93
Lentil,West Bengal,2019,172025,143813,836,4800,4.697041096,2486,4940.4825
Linseed,Assam,2019,4885,3038,622,5682.4,5.826712329,4063.88,3324
Linseed,Bihar,2019,8254,6975,845,5668.75,3.32509589,3245.81,5025.7
Linseed,Chhattisgarh,2019,15680,4453,284,5683.8,3.877863014,4435.58,4553.649167
Linseed,Himachal Pradesh,2019,820,344,420,5683.8,3.314136986,4255.29,7613
Linseed,Jammu And Kashmir,2019,125,0,0,5683.8,3.29139726,4399.4,6524.6
Linseed,Jharkhand,2019,39541,23092,584,5682.4,3.205917808,4182.95,4665.406667
Linseed,Karnataka,2019,1000,513,513,5682.4,3.678,4352.94,6716.02
Linseed,Madhya Pradesh,2019,52000,45084,867,5668.75,3.862794521,3256.04,4963.468333
Linseed,Maharashtra,2019,5490,1938,353,5683.8,4.069369863,4430.67,4568.72
Linseed,Meghalaya,2019,90,54,600,5682.4,10.57309589,4030.32,7045.46
Linseed,Nagaland,2019,5860,4770,814,5668.75,4.291726027,3459.61,4582.5
Linseed,Odisha,2019,10170,5044,496,5682.4,4.413178082,4231.62,4205.64
Linseed,Rajasthan,2019,4795,4622,964,5684.82,1.792739726,2907.21,4597.958333
Linseed,Uttar Pradesh,2019,27001,18576,688,5682.4,2.394109589,4065.52,4853.525
Linseed,West Bengal,2019,4055,2096,517,5682.4,4.697041096,4085.25,4058.11
Maize,Andaman And Nicobar Islands,2019,0,0,0,1760,0,1813.21,2298.81
Maize,Andhra Pradesh,2019,301000,2016982,6701,1760,2.567726027,800,2031.6
Maize,Arunachal Pradesh,2019,51756,80203,1550,1760,7.009479452,1599.55,2472.67
Maize,Assam,2019,36636,128043,3495,1760,5.826712329,1082.55,1668.56
Maize,Bihar,2019,673138,2002689,2975,1760,3.32509589,813,2163.77
Maize,Chandigarh,2019,80,240,3000,1760,2.575342466,1084.24,1810.03
Maize,Chhattisgarh,2019,128180,344932,2691,1760,3.877863014,1310.31,2189.17
Maize,Delhi,2019,20,102,5100,1760,1.368410959,1023.7,1890.31
Maize,Gujarat,2019,438360,795799,1815,1760,2.93460274,1533,2390.234
Maize,Haryana,2019,6000,16998,2833,1760,1.095753425,1289.29,2260.19
Maize,Himachal Pradesh,2019,287444,730108,2540,1760,3.314136986,1449,2368.11
Maize,Jammu And Kashmir,2019,268669,541368,2015,1760,3.29139726,1450.08,2425.56
Maize,Jharkhand,2019,256771,510811,1989,1760,3.205917808,1457.62,2488.63
Maize,Karnataka,2019,1424000,4258022,2990,1760,3.678,1009,2654.98
Maize,Kerala,2019,113,140,1239,1760,7.62169863,1765.98,2467.49
Maize,Madhya Pradesh,2019,1404000,4069785,2899,1760,3.862794521,1001,2640.44
Maize,Maharashtra,2019,1126650,1960141,1740,1760,4.069369863,1604.71,2383.894
Maize,Manipur,2019,2216.8,4939,2228,1760,2.90739726,1340.65,2291.8
Maize,Meghalaya,2019,18170,41755,2298,1760,10.57309589,1315.65,2457.83
Maize,Mizoram,2019,6353,10970,1727,1760,5.126410959,1598.87,2891.93
Maize,Nagaland,2019,69130,137159,1984,1760,4.291726027,1501.72,2498.83
Maize,Odisha,2019,65070,188989,2904,1760,4.413178082,1242.2,1843.73
Maize,Punjab,2019,114600,410383,3581,1760,1.941232877,919,1931.53
Maize,Rajasthan,2019,891110,1207063,1355,1760,1.792739726,1610,2408.65
Maize,Sikkim,2019,38387,67907,1769,1760,8.967835616,1600.29,2535.56
Maize,Tamil Nadu,2019,333560,2476197,7424,1760,2.565068493,1107,2025.81
Maize,Telangana,2019,561000,2999735,5347,1760,3.049972603,980.55,2011.1
Maize,Tripura,2019,14635,22972,1570,1760,6.345205479,1599.55,2618.22
Maize,Uttar Pradesh,2019,729000,1693572,2323,1760,2.394109589,1278,2466.45
Maize,Uttarakhand,2019,21000,40341,1921,1760,4.201315068,1602.23,2556.22
Maize,West Bengal,2019,302026,2007621,6647,1760,4.697041096,863.29,1861.9
Mesta,Andhra Pradesh,2019,2000,21311,1918,1958.8,2.567726027,1571.23,3647.8
Mesta,Assam,2019,3221,20006,1118,5463.55,5.826712329,3161.41,1537
Mesta,Bihar,2019,13697,155309,2041,1958.8,3.32509589,1459.13,3631.6
Mesta,Chhattisgarh,2019,970,1924,357,5528.15,3.877863014,4172.73,4457.015
Mesta,Meghalaya,2019,4480,26457,1063,5464.08,10.57309589,3289.17,2151.51
Mesta,Nagaland,2019,1960,12021,1104,5463.55,4.291726027,3351.6,3471.95
Mesta,Odisha,2019,4690,23424,899,5510.65,4.413178082,3113.45,3187.55
Mesta,Tripura,2019,430,2130,892,5510.65,6.345205479,3391.26,4444.75
Mesta,West Bengal,2019,12434,166211,2406,1958.8,4.697041096,1334.39,3831.97
Moong,Andaman And Nicobar Islands,2019,363.5,217,597,7050,0,5229.55,9050.916667
Moong,Andhra Pradesh,2019,107000,86464,808,7050,2.567726027,3065,7770.738833
Moong,Arunachal Pradesh,2019,1318,1354,1027,7050,7.009479452,3712.31,6125.13
Moong,Assam,2019,10837,7792,719,7050,5.826712329,3998.68,6619.16
Moong,Bihar,2019,165668,110054,664,7050,3.32509589,5111,7992.215214
Moong,Chhattisgarh,2019,10640,4141,389,7050,3.877863014,4929.62,7162.44
Moong,Gujarat,2019,134920,104113,772,7050,2.93460274,3844.79,7893.6275
Moong,Haryana,2019,20170,12001,595,7050,1.095753425,5041.37,7528.198333
Moong,Himachal Pradesh,2019,117,83,710,7050,3.314136986,4923,8983.09
Moong,Jammu And Kashmir,2019,308,132,428,7050,3.29139726,5237.7,9345.51
Moong,Jharkhand,2019,22936,18555,809,7050,3.205917808,3931.61,7224.26
Moong,Karnataka,2019,382300,141062,369,7050,3.678,4589,7775.844833
Moong,Kerala,2019,-28676.14481,-2732751.429,-5832.646586,7050,7.62169863,4388.62,8301.69
Moong,Madhya Pradesh,2019,334200,247794,741,7050,3.862794521,4318.78,7344.470833
Moong,Maharashtra,2019,386790,150848,390,7050,4.069369863,5955,7256.6375
Moong,Manipur,2019,433,388,896,7050,2.90739726,3958.02,8050.23
Moong,Nagaland,2019,480,500,1042,7050,4.291726027,3927.9,7295.87
Moong,Odisha,2019,240140,80722,336,7050,4.413178082,4320,7193.3625
Moong,Puducherry,2019,650.2,172,264,7050,3.491369863,5284.7,7831.16
Moong,Punjab,2019,25400,21986,866,7050,1.941232877,3849.26,7327.435
Moong,Rajasthan,2019,2326520,1303320,560,7050,1.792739726,4407,7635.009881
Moong,Tamil Nadu,2019,171940,76464,445,7050,2.565068493,5231.35,8381.127833
Moong,Telangana,2019,66000,52968,803,7050,3.049972603,3972.16,7470.160833
Moong,Tripura,2019,4032,2681,665,7050,6.345205479,4039.69,6169.57
Moong,Uttar Pradesh,2019,93000,53003,570,7050,2.394109589,5152.27,7514.7075
Moong,West Bengal,2019,74382,32058,431,7050,4.697041096,4113.02,6970.7555
Nigerseed,Andhra Pradesh,2019,4000,1324,331,5940,2.567726027,4513.66,5034.485
Nigerseed,Assam,2019,5715,3189,558,5940,5.826712329,3947.61,3678
Nigerseed,Chhattisgarh,2019,51030,9696,190,5940,3.877863014,4528.78,4883.404167
Nigerseed,Gujarat,2019,2980,1341,450,5940,2.93460274,4402.32,4891.995
Nigerseed,Jharkhand,2019,3117,1496,480,5940,3.205917808,4445.6,4801.805
Nigerseed,Karnataka,2019,1000,248,248,5940,3.678,4624.5,6534.13
Nigerseed,Madhya Pradesh,2019,6000,1998,333,5940,3.862794521,4548.21,4659.285
Nigerseed,Maharashtra,2019,8130,1626,200,5940,4.069369863,4545.31,4797.419167
Nigerseed,Odisha,2019,53040,19678,371,5940,4.413178082,3912,4224.33
Nigerseed,West Bengal,2019,1005,519,516,5940,4.697041096,4033.8,7049.2
Other Pulses,Andhra Pradesh,2019,140000,74000,529,5720.19,2.567726027,4129.31,5354.953333
Other Pulses,Arunachal Pradesh,2019,8157,9290,1139,5689.94,7.009479452,3468.89,4305.97
Other Pulses,Assam,2019,42897,38548,899,5725.54,5.826712329,3226.66,4080.205
Other Pulses,Bihar,2019,72014,61238,850,5725.54,3.32509589,3271.99,5317.511667
Other Pulses,Chhattisgarh,2019,225020,87370,388,5720.19,3.877863014,4478.37,5045.638333
Other Pulses,Goa,2019,4398,3855,877,5725.54,12.76778082,3347.25,4075.87
Other Pulses,Gujarat,2019,49770,33600,675,5720.19,2.93460274,4113.63,5189.480833
Other Pulses,Haryana,2019,3580,3090,863,5725.54,1.095753425,3195.57,4928.901667
Other Pulses,Himachal Pradesh,2019,20302,49060,2417,1771.2,3.314136986,1292.84,2416.59
Other Pulses,Jammu And Kashmir,2019,16564,43762,2642,1771.2,3.29139726,1330.46,2365.79
Other Pulses,Jharkhand,2019,117155,114838,980,5741.61,3.205917808,2793.01,5467.406667
Other Pulses,Karnataka,2019,252000,179600,713,5720.19,3.678,4545.35,5170.795
Other Pulses,Kerala,2019,1347,1207,896,5725.54,7.62169863,3347.25,4738.4
Other Pulses,Ladakh,2019,0,0,0,5720.19,1.420876712,4301.26,6932.67
Other Pulses,Madhya Pradesh,2019,75000,59000,787,5720.19,3.862794521,3778.98,5115.735
Other Pulses,Maharashtra,2019,226340,110280,487,5720.19,4.069369863,4590.95,4879.628333
Other Pulses,Manipur,2019,23794,21880,920,5725.54,2.90739726,2972.62,5174.275
Other Pulses,Meghalaya,2019,5280,8490,1608,4672.27,10.57309589,3034.62,3503.09
Other Pulses,Mizoram,2019,3714,5165,1391,5734.34,5.126410959,3833.26,3895.03
Other Pulses,Nagaland,2019,32820,40220,1225,5741.84,4.291726027,3761.29,4586.4
Other Pulses,Odisha,2019,283220,159320,563,5720.19,4.413178082,4554.77,4503.06
Other Pulses,Puducherry,2019,79,63,797,5725.04,3.491369863,3734.86,7124.07
Other Pulses,Punjab,2019,1800,1600,889,5725.54,1.941232877,3032.68,5021.271667
Other Pulses,Rajasthan,2019,1022005,384007,376,5720.19,1.792739726,3044.08,5467.570167
Other Pulses,Sikkim,2019,2450,2427,991,5655.04,8.967835616,3338.72,4177.46
Other Pulses,Tamil Nadu,2019,198940,153240,770,5720.19,2.565068493,3781.29,5549.314167
Other Pulses,Telangana,2019,4000,4000,1000,5687.79,3.049972603,2989.84,4435.785
Other Pulses,Tripura,2019,8282,6971,842,5712.89,6.345205479,3445.39,4605.16
Other Pulses,Uttar Pradesh,2019,344000,565800,1645,4495.17,2.394109589,2260.94,3332.43
Other Pulses,Uttarakhand,2019,33000,32000,970,5741.61,4.201315068,3183.09,4655.181667
Other Pulses,West Bengal,2019,121081,107420,887,5725.54,4.697041096,3145.74,4814.67
Ragi,Andhra Pradesh,2019,34000,44880,1320,3150,2.567726027,1847.43,2496.35
Ragi,Arunachal Pradesh,2019,268466.6357,2326446.545,9997.233049,3150,7.009479452,1408.38,2535.61
Ragi,Bihar,2019,2755,2193,796,3150,3.32509589,1849.8,2611.99
Ragi,Chhattisgarh,2019,5730,1450,253,3150,3.877863014,1927.08,3637
Ragi,Dadra And Nagar Haveli,2019,900,1485,1650,3150,10.46120548,1806.93,2924.47
Ragi,Gujarat,2019,11610,10008,862,3150,2.93460274,1807.17,2975
Ragi,Himachal Pradesh,2019,1757,2056,1170,3150,3.314136986,1928.37,2348.1
Ragi,Jammu And Kashmir,2019,0,0,0,3150,3.29139726,1886.7,3364.52
Ragi,Jharkhand,2019,14581,12758,875,3150,3.205917808,1828.11,2351.6
Ragi,Karnataka,2019,641000,1164056,1816,3150,3.678,1950,2728.505
Ragi,Kerala,2019,213,261,1225,3150,7.62169863,2037.08,2521.25
Ragi,Maharashtra,2019,82220,87235,1061,3150,4.069369863,2088,2877.81
Ragi,Nagaland,2019,350,340,971,3150,4.291726027,1918.5,2538.92
Ragi,Odisha,2019,35890,26236,731,3150,4.413178082,1890.39,2400.64
Ragi,Puducherry,2019,59,142,2407,3150,3.491369863,1501.92,2366.18
Ragi,Sikkim,2019,149032.6425,1656163.59,9531.566299,3150,8.967835616,1381.15,2424.93
Ragi,Tamil Nadu,2019,84540,274501,3247,3150,2.565068493,1447,2678
