Year,State,Total Area of State,Area_aff,Wages
2022,Uttarakhand,825947,0.54,271
2022,West Bengal,8136340,3.48,237
2023,Andaman And Nicobar Islands,4230229.157,0,273
2023,Andhra Pradesh,4721273.833,0,292
2023,Arunachal Pradesh,4461452.298,0,273
2023,Assam,3478439.962,2.4,253
2023,Bihar,7884923.345,0,237
2023,Chandigarh,1500461.647,0,287
2023,Chhattisgarh,5781318.613,0,174
2023,Dadra And Nagar Haveli,1778944.973,0,298
2023,Delhi,4139506.422,0,275
2023,Goa,2088478.626,0,319
2023,Gujarat,11275672.43,0,189
2023,Haryana,6393263.847,0,361
2023,Himachal Pradesh,918372.8193,0,277
2023,Jammu And Kashmir,5337313.983,0,239
2023,Jharkhand,2663559,0,233
2023,Karnataka,10950814.74,0.01,338
2023,Kerala,730199.4467,0,636
2023,Ladakh,2128470.107,0,292
2023,Madhya Pradesh,26623925,0,228
2023,Maharashtra,22348041.38,0,225
2023,Manipur,5773181.168,0,209
2023,Meghalaya,6647289.913,0.01,342
2023,Mizoram,4195644.502,0,273
2023,Nagaland,10423779.04,0,235
2023,Odisha,6335235.312,0,284
2023,Puducherry,4957379.076,0,235
2023,Punjab,7523331.919,0,398
2023,Rajasthan,22424496.62,0,319
2023,Sikkim,1992085.44,0,296
2023,Tamil Nadu,5007827.4,0,275
2023,Telangana,8973111.635,0,304
2023,Tripura,6980510.962,0,280
2023,Uttar Pradesh,25974029.76,0,229
2023,Uttarakhand,832377,0,271
2023,West Bengal,8829197.469,0,237
